lead_time,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,booking_changes,days_in_waiting_list,adr,required_car_parking_spaces,total_of_special_requests,reserved_eq_assigned_roomtype,binary_response,market_Aviation,market_Complntry,market_Corprt,market_Direct,mar_Groups,market_OffTA,market_OnTA,distr_Corprt,distr_Direct,distr_GDS,distr_TATO,No_Deposit,Non_Refund
330,0,2,2,62.0,0,0,0,0,0,0,62.0,0,0,1,-1,0,0,0,0,1,0,0,0,0,0,1,0,1
44,2,5,2,42.0,0,0,0,0,0,0,42.0,0,0,1,-1,0,0,0,0,0,0,1,0,0,0,1,1,0
106,0,1,2,125.0,0,0,0,0,0,0,125.0,0,0,1,-1,0,0,0,0,0,0,1,0,0,0,1,1,0
49,2,1,2,156.67,0,0,0,0,0,0,156.67,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0
0,2,2,2,160.0,0,0,0,0,4,0,160.0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0
327,0,2,2,62.0,0,0,1,0,0,0,62.0,0,0,1,-1,0,0,0,0,1,0,0,0,0,0,1,0,1
179,2,1,2,86.0,0,0,1,0,0,0,86.0,0,0,1,-1,0,0,0,0,1,0,0,0,0,0,1,0,1
183,1,3,2,130.0,0,0,0,0,0,0,130.0,0,0,1,-1,0,0,0,0,0,1,0,0,0,0,1,0,1
34,0,2,1,90.0,0,0,1,0,0,0,90.0,0,0,1,-1,0,0,0,0,0,1,0,0,0,0,1,0,1
231,1,2,2,57.6,0,0,0,0,0,0,57.6,0,0,1,-1,0,0,0,0,0,1,0,0,0,0,1,0,1
57,1,2,2,90.67,0,0,0,0,0,0,90.67,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0
22,0,1,1,156.0,0,0,0,0,0,0,156.0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0
117,2,5,2,66.02,0,0,0,0,4,0,66.02,0,0,1,-1,0,0,0,0,0,0,1,0,0,0,1,1,0
0,1,1,2,111.0,0,0,0,0,0,0,111.0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0
69,2,4,1,120.0,0,0,0,0,0,0,120.0,0,0,1,-1,0,0,0,0,0,1,0,0,0,0,1,0,1
127,1,1,2,230.0,0,0,0,0,0,0,230.0,0,0,1,-1,0,0,0,0,0,0,1,0,0,0,1,1,0
98,1,5,2,130.5,0,0,0,0,0,0,130.5,0,0,1,-1,0,0,0,0,0,0,1,0,0,0,1,1,0
87,2,2,2,95.0,0,0,0,0,0,0,95.0,0,0,1,-1,0,0,0,0,1,0,0,0,0,0,1,0,1
47,0,2,2,98.0,0,0,0,0,0,0,98.0,0,1,1,-1,0,0,0,0,0,0,1,0,0,0,1,1,0
99,2,5,2,82.86,0,0,0,0,0,0,82.86,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0
207,4,5,2,92.1,0,0,0,0,0,0,92.1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0
46,1,1,2,62.0,0,0,0,0,0,0,62.0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0
105,0,1,2,75.0,0,0,0,0,0,0,75.0,0,0,1,-1,0,0,0,0,0,1,0,0,0,0,1,0,1
38,1,3,2,175.0,0,0,0,0,0,0,175.0,0,0,1,-1,0,0,0,1,0,0,0,0,1,0,0,1,0
103,4,6,2,61.2,0,0,0,0,0,0,61.2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0
1,0,1,1,30.0,0,0,0,0,0,0,30.0,0,0,1,-1,0,0,1,0,0,0,0,1,0,0,0,1,0
210,1,3,2,130.0,0,0,0,0,0,0,130.0,0,0,1,-1,0,0,0,0,0,1,0,0,0,0,1,0,1
82,1,2,2,146.0,0,0,0,0,0,0,146.0,0,2,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0
40,0,5,2,88.0,0,0,0,0,0,0,88.0,0,1,1,-1,0,0,0,0,0,0,1,0,0,0,1,1,0
0,0,2,2,89.0,0,0,0,0,0,0,89.0,0,0,1,-1,0,0,0,1,0,0,0,0,1,0,0,1,0
38,2,6,1,146.0,0,0,0,0,0,0,146.0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0
172,0,3,2,180.9,0,0,0,0,0,0,180.9,0,0,1,-1,0,0,0,0,0,0,1,0,0,0,1,1,0
199,0,5,2,126.0,0,0,0,0,2,0,126.0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0
476,2,1,2,112.67,0,0,0,0,0,0,112.67,0,2,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0
7,1,2,1,65.0,0,0,0,0,0,0,65.0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0
74,0,2,2,101.5,0,0,0,0,0,0,101.5,0,0,1,-1,0,0,0,0,0,1,0,0,0,0,1,0,1
74,1,2,2,70.0,0,0,0,0,0,0,70.0,0,0,1,-1,0,0,0,0,1,0,0,0,0,0,1,0,1
111,1,2,1,120.0,0,0,0,0,1,0,120.0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0
26,0,2,2,145.0,0,0,0,0,0,0,145.0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0
11,1,2,1,54.8,0,0,0,0,0,0,54.8,0,0,1,-1,0,0,0,0,0,1,0,0,0,0,1,1,0
18,2,3,2,93.84,0,0,0,0,0,0,93.84,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0
214,2,5,2,151.76,0,0,0,0,0,0,151.76,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0
4,2,2,3,133.0,0,0,0,0,0,0,133.0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0
148,1,4,2,67.0,0,0,0,0,0,79,67.0,0,0,1,-1,0,0,0,0,0,1,0,0,0,0,1,0,1
194,0,3,3,134.67,0,0,0,0,0,0,134.67,0,1,1,-1,0,0,0,0,0,0,1,0,0,0,1,1,0
141,1,2,2,85.5,0,0,0,0,0,0,85.5,0,2,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0
79,2,5,3,130.9,0,0,0,0,0,0,130.9,0,1,1,-1,0,0,0,0,0,0,1,0,0,0,1,1,0
301,0,2,2,101.5,0,0,1,0,0,0,101.5,0,0,1,-1,0,0,0,0,0,1,0,0,0,0,1,0,1
81,2,5,2,64.49,0,0,0,0,0,0,64.49,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0
191,1,2,2,132.0,0,0,0,0,0,0,132.0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0
155,1,0,2,235.0,0,0,0,0,2,0,235.0,0,0,1,-1,0,0,0,0,0,0,1,0,0,0,1,1,0
9,2,2,2,102.43,0,0,0,0,0,0,102.43,0,0,1,-1,0,0,0,0,0,0,1,0,0,0,1,1,0
0,1,1,2,75.0,0,0,0,0,0,0,75.0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0
126,0,3,2,65.0,0,0,0,0,0,39,65.0,0,0,1,-1,0,0,0,0,1,0,0,0,0,0,1,0,1
105,1,2,2,29.0,0,0,0,0,0,0,29.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0
159,1,1,2,70.0,0,0,0,0,0,0,70.0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0
86,1,2,2,99.0,0,0,0,0,0,0,99.0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0
21,1,2,2,99.33,0,0,0,0,0,0,99.33,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0
79,1,2,2,79.2,0,0,0,0,0,0,79.2,0,2,1,-1,0,0,0,0,0,0,1,0,0,0,1,1,0
117,0,2,2,295.0,0,0,0,0,0,0,295.0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0
73,1,4,3,115.0,0,0,0,0,0,0,115.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0
2,1,1,2,51.0,0,0,0,0,0,0,51.0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0
307,0,2,2,62.8,0,1,1,0,0,0,62.8,0,0,1,-1,0,0,0,0,1,0,0,0,0,0,1,1,0
56,2,4,2,101.72,0,0,0,0,0,0,101.72,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0
59,1,1,2,80.0,0,0,0,0,0,0,80.0,0,0,1,-1,0,0,0,0,1,0,0,0,0,0,1,0,1
6,1,0,1,119.0,0,0,0,0,0,0,119.0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0
193,0,3,2,93.09,0,0,0,0,0,0,93.09,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0
248,1,4,2,54.0,0,0,0,0,0,0,54.0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0
32,1,1,2,103.5,0,0,0,0,0,0,103.5,0,2,1,-1,0,0,0,0,0,0,1,0,0,0,1,1,0
72,3,6,2,158.33,0,0,0,0,0,0,158.33,0,1,1,-1,0,0,0,0,0,0,1,0,0,0,1,0,0
30,0,2,2,121.0,0,0,0,0,0,0,121.0,0,0,1,-1,0,0,0,0,0,1,0,0,0,0,1,0,1
2,2,1,2,58.0,0,0,0,0,0,0,58.0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0
129,2,3,2,81.9,0,0,0,0,0,0,81.9,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0
71,0,4,3,105.0,0,0,0,0,0,0,105.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0
0,0,1,2,44.0,0,0,0,0,0,0,44.0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0
4,1,0,2,114.73,0,0,0,0,0,0,114.73,0,2,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0
180,1,1,2,100.0,0,0,0,0,0,0,100.0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0
278,0,2,2,62.0,0,0,1,0,0,0,62.0,0,0,1,-1,0,0,0,0,1,0,0,0,0,0,1,1,0
60,0,1,2,56.7,0,0,0,0,1,0,56.7,1,2,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0
5,2,1,2,44.8,0,0,0,0,0,0,44.8,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0
58,2,8,2,119.0,0,0,0,0,0,0,119.0,0,0,1,-1,0,0,0,0,0,0,1,0,0,0,1,1,0
214,2,5,1,41.6,0,0,0,0,1,0,41.6,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0
426,0,2,2,62.0,0,0,0,0,0,0,62.0,0,0,1,-1,0,0,0,0,1,0,0,0,0,0,1,0,1
90,2,3,2,51.71,0,0,0,0,0,0,51.71,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0
0,0,1,1,48.0,0,0,0,0,0,0,48.0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0
22,2,2,2,115.0,0,0,0,0,0,0,115.0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0
1,0,1,2,108.0,0,0,0,0,0,0,108.0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0
177,2,0,2,121.0,0,0,1,0,0,0,121.0,0,0,1,-1,0,0,0,0,0,1,0,0,0,0,1,0,1
3,0,1,2,75.0,0,0,0,0,0,0,75.0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0
212,0,2,2,99.0,0,0,0,0,0,0,99.0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0
163,0,3,2,100.0,0,0,0,0,0,0,100.0,0,0,1,-1,0,0,0,1,0,0,0,0,1,0,0,0,1
3,0,1,1,39.0,0,0,0,0,0,0,39.0,0,0,1,-1,0,0,0,0,0,0,1,0,0,0,1,1,0
9,1,0,2,70.0,0,0,0,0,0,0,70.0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0
282,2,1,2,76.67,0,0,0,0,0,0,76.67,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0
140,0,5,2,70.0,0,0,0,0,0,0,70.0,0,0,1,-1,0,0,0,0,0,1,0,0,0,0,1,0,1
112,0,3,2,224.67,0,0,0,0,0,0,224.67,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0
56,0,2,3,159.3,0,0,0,0,0,0,159.3,0,0,1,-1,0,0,0,0,0,0,1,0,0,0,1,1,0
145,2,1,2,94.5,0,0,0,0,0,0,94.5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0
96,2,5,2,125.0,0,0,0,0,0,0,125.0,0,1,1,-1,0,0,0,0,0,0,1,0,0,0,1,1,0
41,1,3,1,130.0,0,0,0,0,3,0,130.0,0,1,1,-1,0,0,0,0,0,0,1,0,0,0,1,1,0
24,1,0,2,80.0,0,0,0,0,0,0,80.0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0
196,1,4,2,79.27,0,0,0,0,0,0,79.27,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0
384,0,2,2,65.0,0,0,0,0,0,0,65.0,0,0,1,-1,0,0,0,0,1,0,0,0,0,0,1,0,1
68,0,2,2,75.0,0,0,1,0,0,0,75.0,0,0,1,-1,0,0,0,0,1,0,0,0,0,0,1,0,1
21,1,4,2,139.2,0,0,0,0,0,0,139.2,0,2,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0
0,0,1,2,160.0,0,0,0,0,0,0,160.0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0
11,0,1,3,210.0,0,0,0,0,0,0,210.0,0,0,1,-1,0,0,0,0,0,0,1,0,0,0,1,1,0
54,2,5,2,29.0,0,0,0,0,0,0,29.0,0,0,1,-1,0,0,0,0,0,1,0,0,0,0,1,1,0
11,2,2,2,151.0,0,0,0,0,0,0,151.0,0,1,1,-1,0,0,0,0,0,0,1,0,0,0,1,1,0
97,2,1,2,102.3,0,0,0,0,0,0,102.3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0
66,2,1,1,89.1,0,0,0,0,0,0,89.1,0,0,1,-1,0,0,0,0,0,0,1,0,0,0,1,1,0
5,0,4,1,65.0,0,0,0,0,0,0,65.0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0
21,1,3,1,102.05,0,0,0,0,0,0,102.05,0,0,1,-1,0,0,0,0,0,0,1,0,0,0,1,1,0
1,0,2,1,90.0,0,0,0,0,0,0,90.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
135,4,10,2,45.0,0,0,0,0,0,0,45.0,0,0,1,-1,0,0,0,0,0,1,0,0,0,0,1,1,0
55,2,1,4,205.67,0,0,0,0,4,0,205.67,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0
359,2,0,2,60.0,0,0,1,0,0,0,60.0,0,0,1,-1,0,0,0,0,1,0,0,0,0,0,1,0,1
108,2,3,2,81.25,0,0,0,0,0,0,81.25,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0
41,1,3,2,105.3,0,0,0,0,0,0,105.3,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0
67,2,1,2,149.4,0,0,0,0,0,0,149.4,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0
162,2,1,1,80.0,0,0,0,0,0,0,80.0,0,0,1,-1,0,0,0,0,1,0,0,0,0,0,1,0,1
175,0,3,2,60.0,0,0,0,0,1,0,60.0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,1,1,0
12,0,3,2,87.76,0,0,0,0,1,0,87.76,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0
405,0,2,2,65.0,0,0,0,0,0,0,65.0,0,0,1,-1,0,0,0,0,1,0,0,0,0,0,1,0,1
36,0,3,1,76.0,0,0,0,0,2,0,76.0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0
11,0,5,2,135.0,0,0,0,0,0,0,135.0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0
114,4,5,3,191.0,0,0,0,0,0,0,191.0,0,0,1,-1,0,0,0,0,0,0,1,0,0,0,1,1,0
6,0,2,1,110.0,0,1,0,4,0,0,110.0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0
21,0,1,1,170.0,0,0,1,0,1,0,170.0,0,0,1,-1,0,0,0,0,1,0,0,0,0,0,1,0,1
1,0,1,2,54.0,0,0,0,0,0,0,54.0,1,2,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0
125,0,3,2,114.39,0,0,0,0,0,0,114.39,0,0,1,-1,0,0,0,0,0,0,1,0,0,0,1,1,0
61,2,2,2,62.0,0,0,0,0,0,0,62.0,0,0,1,-1,0,0,0,0,1,0,0,0,0,0,1,1,0
106,1,2,2,118.8,0,0,0,0,0,0,118.8,0,1,1,-1,0,0,0,0,0,0,1,0,0,0,1,1,0
464,0,2,2,65.0,0,0,0,0,0,391,65.0,0,0,1,-1,0,0,0,0,1,0,0,0,0,0,1,0,1
162,0,3,3,113.4,0,0,0,0,1,0,113.4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0
10,0,1,2,101.0,0,0,0,0,0,0,101.0,0,0,1,-1,0,0,0,0,0,0,1,0,0,0,1,1,0
49,1,3,2,173.0,0,0,0,0,0,0,173.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0
151,0,1,2,130.0,0,0,0,0,0,107,130.0,0,0,1,-1,0,0,0,0,0,1,0,0,0,0,1,1,0
5,0,1,2,12.0,0,1,0,1,0,0,12.0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
196,1,1,2,122.4,0,0,0,0,0,0,122.4,0,0,1,-1,0,0,0,0,0,0,1,0,0,0,1,1,0
224,1,2,2,65.0,0,0,0,0,0,0,65.0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0
75,2,4,2,88.4,0,0,0,0,1,0,88.4,0,1,1,-1,0,0,0,0,0,0,1,0,0,0,1,1,0
55,2,5,3,136.0,0,0,0,0,0,0,136.0,0,1,1,-1,0,0,0,0,0,0,1,0,0,0,1,1,0
1,1,0,2,140.0,0,0,0,0,0,0,140.0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0
462,2,1,2,90.0,0,0,0,0,0,0,90.0,0,0,1,-1,0,0,0,0,1,0,0,0,0,0,1,1,0
155,0,1,2,36.0,0,0,0,0,0,0,36.0,0,0,1,-1,0,0,0,0,1,0,0,0,1,0,0,0,1
117,1,2,2,75.0,0,0,1,0,0,44,75.0,0,0,1,-1,0,0,0,0,0,1,0,0,0,0,1,0,1
41,2,2,2,56.0,0,0,0,0,0,0,56.0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0
277,1,2,2,193.5,0,0,0,0,0,0,193.5,0,2,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0
297,1,1,2,62.0,0,0,1,0,0,0,62.0,0,0,1,-1,0,0,0,0,1,0,0,0,0,0,1,0,1
141,0,2,2,163.8,0,0,0,0,0,0,163.8,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0
314,0,2,2,62.8,0,1,1,0,0,0,62.8,0,0,1,-1,0,0,0,0,1,0,0,0,0,0,1,1,0
108,2,2,2,84.0,0,0,0,0,0,0,84.0,0,0,1,-1,0,0,0,0,1,0,0,0,0,0,1,0,1
3,0,1,2,44.0,0,0,0,0,0,0,44.0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0
207,1,4,2,173.45,0,0,0,0,0,0,173.45,1,2,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0
152,0,2,2,254.0,0,0,0,6,0,0,254.0,1,4,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0
209,2,3,3,128.7,0,0,0,0,0,0,128.7,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0
0,1,1,2,130.0,0,0,0,0,0,0,130.0,1,3,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0
81,0,5,2,168.0,0,0,0,0,0,0,168.0,0,0,1,-1,0,0,0,0,0,0,1,0,0,0,1,1,0
1,0,1,1,80.0,0,1,1,4,0,0,80.0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0
92,2,1,2,80.75,0,0,0,0,0,0,80.75,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0
93,1,2,2,125.0,0,0,0,0,0,0,125.0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0
437,0,1,2,90.0,0,0,0,0,0,0,90.0,0,0,1,-1,0,0,0,0,1,0,0,0,0,0,1,0,1
116,2,1,2,37.8,0,0,0,0,0,0,37.8,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0
158,1,2,2,168.3,0,0,0,0,0,0,168.3,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0
154,3,7,2,126.0,0,0,0,0,0,0,126.0,0,0,1,-1,0,0,0,0,0,0,1,0,0,0,1,1,0
151,0,3,1,80.0,0,0,0,0,0,63,80.0,0,0,1,-1,0,0,0,0,0,1,0,0,0,0,1,1,0
6,2,2,2,191.1,0,0,0,0,5,0,191.1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0
0,0,2,2,109.0,0,0,0,0,0,0,109.0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0
274,0,2,2,62.0,0,0,0,0,0,0,62.0,0,0,1,-1,0,0,0,0,1,0,0,0,0,0,1,0,1
138,2,2,2,76.5,0,0,1,0,0,0,76.5,0,2,1,-1,0,0,0,0,0,0,1,0,0,0,1,1,0
4,0,1,1,159.0,0,0,0,0,0,0,159.0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0
60,1,2,2,92.7,0,0,0,0,0,0,92.7,0,1,1,-1,0,0,0,0,0,0,1,0,0,0,1,1,0
53,1,2,1,69.76,0,0,0,0,0,0,69.76,0,1,1,-1,0,0,0,0,0,0,1,0,0,0,1,1,0
321,0,2,2,62.0,0,0,1,0,0,0,62.0,0,0,1,-1,0,0,0,0,1,0,0,0,0,0,1,0,1
3,1,0,1,31.2,0,0,0,0,0,0,31.2,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0
138,0,2,2,121.5,0,0,0,0,0,0,121.5,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0
60,2,2,2,75.0,0,0,0,0,0,0,75.0,0,0,1,-1,0,0,0,0,0,1,0,0,0,0,1,0,1
11,0,1,2,45.0,0,0,0,0,0,0,45.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
95,0,3,2,58.0,0,0,0,0,0,0,58.0,0,3,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0
42,2,4,2,133.33,0,0,0,0,0,0,133.33,0,1,1,-1,0,0,0,0,0,0,1,0,0,0,1,1,0
55,2,5,2,102.0,0,0,0,0,0,0,102.0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0
1,0,1,1,65.0,0,0,0,0,0,0,65.0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0
0,0,1,2,80.0,0,1,0,2,0,0,80.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
115,1,3,2,34.0,0,0,0,0,1,0,34.0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0
342,0,2,1,108.58,0,0,0,0,0,0,108.58,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0
123,2,5,1,82.72,0,0,0,0,1,0,82.72,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0
31,2,3,2,81.0,0,0,0,0,0,0,81.0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0
11,0,2,2,92.0,0,0,0,0,0,0,92.0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0
478,0,1,2,90.0,0,0,0,0,0,0,90.0,0,0,1,-1,0,0,0,0,0,1,0,0,0,0,1,0,1
299,0,2,2,62.0,0,0,1,0,0,0,62.0,0,0,1,-1,0,0,0,0,1,0,0,0,0,0,1,0,1
6,0,3,2,34.0,0,0,0,0,0,0,34.0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0
156,2,5,2,90.0,0,0,0,0,0,0,90.0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0
32,1,2,2,58.0,0,0,0,0,0,0,58.0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0
68,0,2,1,100.0,0,0,0,0,0,0,100.0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0
214,12,30,2,31.45,0,0,0,0,0,0,31.45,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0
17,0,3,2,76.0,0,0,0,0,0,0,76.0,0,1,1,-1,0,0,0,0,0,0,1,0,0,0,1,1,0
44,0,5,2,143.44,0,0,0,0,0,0,143.44,0,2,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0
28,2,5,3,258.27,0,0,0,0,0,0,258.27,0,1,1,-1,0,0,0,0,0,0,1,0,0,0,1,1,0
5,0,1,1,65.0,0,1,0,1,0,0,65.0,0,2,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0
277,1,2,2,100.0,0,0,0,0,0,0,100.0,0,0,1,-1,0,0,0,0,1,0,0,0,0,0,1,0,1
51,1,5,2,173.0,0,0,0,0,0,0,173.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0
78,0,2,3,209.0,0,0,0,0,0,0,209.0,1,2,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0
